# ID,Conference,Nickname,Alias 0,Alias 1,...Alias n
103,Big Ten,Boilermakers,Purdue University,Purdue,PURDU
104,Big Ten,Scarlet Knights,Rutgers University–New Brunswick,Rutgers
105,Big Ten,Badgers,University of Wisconsin–Madison,Wisconsin,WISCN
106,Big 12,Bears,Baylor University,Baylor,BAYLR
107,Big 12,Cyclones,Iowa State University,Iowa State
108,Big 12,Jayhawks,University of Kansas,Kansas,KANSA
109,Big 12,Wildcats,Kansas State University,Kansas State,KANST
110,Big 12,Sooners,University of Oklahoma,Oklahoma,OKLA
111,Big 12,Cowboys,Oklahoma State University–Stillwater,Oklahoma State
112,Big 12,Longhorns,University of Texas at Austin,Texas
113,Big 12,Horned Frogs,Texas Christian University,TCU
114,Big 12,Red Raiders,Texas Tech University,Texas Tech
115,Big 12,Mountaineers,West Virginia University,West Virginia
116,Big West,Mustangs,California Polytechnic State University,Cal Poly
117,Big West,Titans,California State University Fullerton,Cal State Fullerton
118,Big West,Matadors,California State University Northridge,Cal State Northridge
119,Big West,Rainbow Warriors,University of Hawaiʻi at Mānoa,Hawaii
120,Big West,49ers,California State University Long Beach,Long Beach State
121,Big West,Aggies,University of California Davis,UC Davis
122,Big West,Anteaters,University of California Irvine,UC Irvine
123,Big West,Highlanders,University of California Riverside,UC Riverside
124,Big West,Gauchos,University of California Santa Barbara,UC Santa Barbara
125,CAA,Cougars,College of Charleston,Charleston
126,CAA,Fightin' Blue Hens,University of Delaware,Delaware
127,CAA,Dragons,Drexel University,Drexel
128,CAA,Phoenix,Elon University,Elon
129,CAA,Pride,Hofstra University,Hofstra
130,CAA,Dukes,James Madison University,James Madison
131,CAA,Huskies,Northeastern University,Northeastern
132,CAA,Tigers,Towson University,Towson
133,CAA,Seahawks,University of North Carolina at Wilmington,UNC Wilmington
134,CAA,Tribe,College of William & Mary,William & Mary
135,Conference USA,49ers,University of North Carolina at Charlotte,Charlotte
136,Conference USA,Owls,Florida Atlantic University,Florida Atlantic
137,Conference USA,Panthers,Florida International University,FIU
138,Conference USA,Bulldogs,Louisiana Tech University,Louisiana Tech
139,Conference USA,Thundering Herd,Marshall University,Marshall
140,Conference USA,Blue Raiders,Middle Tennessee State University,Middle Tennessee
141,Conference USA,Mean Green,University of North Texas,North Texas
142,Conference USA,Monarchs,Old Dominion University,Old Dominion
143,Conference USA,Owls,Rice University,Rice
144,Conference USA,Golden Eagles,University of Southern Mississippi,Southern Miss
